index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
38,-1.627020146,1.859852544,0.286302633,1.03421945,-1.002784108,-0.373392145,1.04471052,-0.227213907,0.500427409,0.490473441
39,1.452692669,-0.868002234,0.588506666,-1.458529535,-0.516000422,-0.880668201,0.611550379,0.028647359,0.617750269,0.114245147
40,0.118676739,1.596299262,-0.80497104,0.782898292,-1.371665646,-0.105589684,0.539199514,-0.021629233,0.458119758,-0.379327595
41,1.511845327,-2.044321045,0.718772127,-0.242933966,0.43501989,-0.210562651,0.387379344,-0.069403629,0.103305151,-0.007431875
42,-1.025353952,1.421378838,-0.053955585,1.655119183,-0.706431025,1.340952898,-0.363715241,-0.051828431,-0.201330362,-0.048695716
43,1.790455632,-2.055025423,0.416769853,-0.122668904,0.408913152,-0.257497658,0.383754458,0.355487726,0.034409887,0.038632325
44,-3.500317149,-1.236074892,2.34300386,0.287495874,0.488120387,0.048452127,0.363943826,2.176861861,-0.325994279,0.497845236
45,1.627820973,-2.000296951,0.475930723,-0.317862061,0.478718786,-0.088933372,0.331009255,0.153446612,0.071781681,0.016267365
46,-0.351678321,0.445864995,-0.594524644,-0.950928377,-0.534743316,-1.512370499,0.134413163,-0.128913539,-0.328220878,-0.45315375
47,-1.015415801,-1.691293634,-0.995220831,0.760333729,0.633432574,-1.032647637,0.160062185,0.18087389,0.12560204,0.509128259
48,-0.262056276,-1.789673304,-0.548679627,0.473221355,0.539678892,-0.828667057,0.190911587,0.216315918,0.194675883,-0.449696358
49,-1.11463033,-1.552785976,-1.617197426,0.143988773,0.137534413,0.028977717,-0.742798757,0.257886283,-0.003173729,0.550383756
50,-0.218165735,0.708145757,-1.264739152,-0.784354908,-2.637418818,-0.828826123,1.08712954,0.092913699,-0.380740121,-0.340561189
51,-1.693077828,3.034427931,-4.416822409,-3.675908524,5.197585188,3.775271078,6.142739916,0.082810905,-0.283323319,0.186797608
52,2.347131822,0.675977168,-0.160382897,0.092589843,0.571612409,1.065136221,-1.273245502,0.458787818,-0.434362473,0.010537394
53,1.186287725,-1.818516627,0.232141709,-1.101199776,-0.019163852,1.043326151,-0.70646172,-0.289909644,0.072360719,0.00849762
54,-0.056734145,-1.802728617,-0.781133887,0.614776803,0.428376286,-0.818357978,0.24981485,0.514942794,0.123934122,-0.416279635
55,2.761852693,1.089373393,0.339071396,0.930750952,1.000554256,-0.283232841,-0.314769018,0.573793804,-0.882953751,-0.053799559
